Date ,Site,Crop ID,Irrigation ,Fertilizer ,Growth Stage,Hybrid,AGDD,Year,Date_clean,Staging
4-May,Becker,C1,100%,,Planted,NK seeds 007,0,2023,4-May,Planted 
4-May,Becker,C2,100%,,Planted,NK seeds 007,0,2023,17-May,VE
4-May,Becker,C3,100%,,Planted,NK seeds 007,0,2023,24-May,V2
4-May,Becker,C4,100%,,Planted,NK seeds 007,0,2023,31-May,V4
4-May,Becker,C5,100%,,Planted,NK seeds 007,0,2023,7-Jun,V7
4-May,Becker,C6,100%,,Planted,NK seeds 007,0,2023,14-Jun,V10
4-May,Becker,C7,100%,,Planted,NK seeds 007,0,2023,21-Jun,V13
4-May,Becker,C8,100%,,Planted,NK seeds 007,0,2023,28-Jun,V14
17-May,Becker,C1,100%,,VE,NK seeds 007,167.31,2023,5-Jul,V16
17-May,Becker,C2,100%,,VE,NK seeds 007,167.31,2023,12-Jul,Vt
17-May,Becker,C3,100%,,VE,NK seeds 007,167.31,2023,19-Jul,VT-R1
17-May,Becker,C4,100%,,VE,NK seeds 007,167.31,2023,25-Jul,R1
17-May,Becker,C5,100%,,VE,NK seeds 007,167.31,2023,1-Aug,R2
17-May,Becker,C6,100%,,VE,NK seeds 007,167.31,2023,9-Aug,R3
17-May,Becker,C7,100%,,VE,NK seeds 007,167.31,2023,16-Aug,R4
17-May,Becker,C8,100%,,VE,NK seeds 007,167.31,2023,22-Aug,R5
24-May,Becker,C1,100%,,V2,NK seeds 007,261.72,2023,30-Aug,R5
24-May,Becker,C2,100%,,V2,NK seeds 007,261.72,2023,8-Sep,R5-R6
24-May,Becker,C3,100%,,V2,NK seeds 007,261.72,2023,15-Sep,R6
24-May,Becker,C4,100%,,V2,NK seeds 007,261.72,2023,2-Nov,Harvested
24-May,Becker,C5,100%,,V2,NK seeds 007,261.72,2023,,
24-May,Becker,C6,100%,,V2,NK seeds 007,261.72,2023,,
24-May,Becker,C7,100%,,V2,NK seeds 007,261.72,2023,,
24-May,Becker,C8,100%,,V2,NK seeds 007,261.72,2023,,
31-May,Becker,C1,100%,,V4,NK seeds 007,405.45,2023,,
31-May,Becker,C2,100%,,V4,NK seeds 007,405.45,2023,,
31-May,Becker,C3,100%,,V4,NK seeds 007,405.45,2023,,
31-May,Becker,C4,100%,,V4,NK seeds 007,405.45,2023,,
31-May,Becker,C5,100%,,V4,NK seeds 007,405.45,2023,,
31-May,Becker,C6,100%,,V4,NK seeds 007,405.45,2023,,
31-May,Becker,C7,100%,,V4,NK seeds 007,405.45,2023,,
31-May,Becker,C8,100%,,V4,NK seeds 007,405.45,2023,,
7-Jun,Becker,C1,100%,,V7,NK seeds 007,572.85,2023,,
7-Jun,Becker,C2,100%,,V7,NK seeds 007,572.85,2023,,
7-Jun,Becker,C3,100%,,V7,NK seeds 007,572.85,2023,,
7-Jun,Becker,C4,100%,,V6,NK seeds 007,572.85,2023,,
7-Jun,Becker,C5,100%,,V7,NK seeds 007,572.85,2023,,
7-Jun,Becker,C6,100%,,V7,NK seeds 007,572.85,2023,,
7-Jun,Becker,C7,100%,,V7,NK seeds 007,572.85,2023,,
7-Jun,Becker,C8,100%,,V7,NK seeds 007,572.85,2023,,
14-Jun,Becker,C1,100%,,V10,NK seeds 007,695.88,2023,,
14-Jun,Becker,C2,100%,,V8,NK seeds 007,695.88,2023,,
14-Jun,Becker,C3,100%,,V8,NK seeds 007,695.88,2023,,
14-Jun,Becker,C4,100%,,V8,NK seeds 007,695.88,2023,,
14-Jun,Becker,C5,100%,,V10,NK seeds 007,695.88,2023,,
14-Jun,Becker,C6,100%,,V10,NK seeds 007,695.88,2023,,
14-Jun,Becker,C7,100%,,V10,NK seeds 007,695.88,2023,,
14-Jun,Becker,C8,100%,,V10,NK seeds 007,695.88,2023,,
21-Jun,Becker,C1,100%,,V13,NK seeds 007,842.22,2023,,
21-Jun,Becker,C2,100%,,V11,NK seeds 007,842.22,2023,,
21-Jun,Becker,C3,100%,,V11,NK seeds 007,842.22,2023,,
21-Jun,Becker,C4,100%,,V13,NK seeds 007,842.22,2023,,
21-Jun,Becker,C5,100%,,V13,NK seeds 007,842.22,2023,,
21-Jun,Becker,C6,100%,,V13,NK seeds 007,842.22,2023,,
21-Jun,Becker,C7,100%,,V13,NK seeds 007,842.22,2023,,
21-Jun,Becker,C8,100%,,V13,NK seeds 007,842.22,2023,,
28-Jun,Becker,C1,100%,,V14,NK seeds 007,1012.41,2023,,
28-Jun,Becker,C2,100%,,V13,NK seeds 007,1012.41,2023,,
28-Jun,Becker,C3,100%,,V14,NK seeds 007,1012.41,2023,,
28-Jun,Becker,C4,100%,,V14,NK seeds 007,1012.41,2023,,
28-Jun,Becker,C5,100%,,V14,NK seeds 007,1012.41,2023,,
28-Jun,Becker,C6,100%,,V14,NK seeds 007,1012.41,2023,,
28-Jun,Becker,C7,100%,,V14,NK seeds 007,1012.41,2023,,
28-Jun,Becker,C8,100%,,V14,NK seeds 007,1012.41,2023,,
5-Jul,Becker,C1,100%,,V16,NK seeds 007,1172.16,2023,,
