Date,Site,Crop ID,Irrigation,Fertilizer,Growth Stage,Hybrid,AGDD,Year
15-May,Saint Paul,C1,No irrigation,160lbs of N (Urea)  (Urea),Planted ,D41SP23RIB,0,2024
15-May,Saint Paul,C2,No irrigation,160lbs of N (Urea)  (Urea),Planted ,D41SP23RIB,0,2024
15-May,Saint Paul,C3,No irrigation,160lbs of N (Urea)  (Urea),Planted ,D41SP23RIB,0,2024
15-May,Saint Paul,C4,No irrigation,160lbs of N (Urea)  (Urea),Planted ,D41SP23RIB,0,2024
15-May,Saint Paul,C5,No irrigation,160lbs of N (Urea)  (Urea),Planted ,D41SP23RIB,0,2024
15-May,Saint Paul,C6,No irrigation,160lbs of N (Urea)  (Urea),Planted ,D41SP23RIB,0,2024
15-May,Saint Paul,C7,No irrigation,160lbs of N (Urea)  (Urea),Planted ,D41SP23RIB,0,2024
15-May,Saint Paul,C8,No irrigation,160lbs of N (Urea)  (Urea),Planted ,D41SP23RIB,0,2024
23-May,Saint Paul,C1,No irrigation,160lbs of N (Urea)  (Urea),VE,D41SP23RIB,129.42,2024
23-May,Saint Paul,C2,No irrigation,160lbs of N (Urea)  (Urea),VE,D41SP23RIB,129.42,2024
23-May,Saint Paul,C3,No irrigation,160lbs of N (Urea)  (Urea),VE,D41SP23RIB,129.42,2024
23-May,Saint Paul,C4,No irrigation,160lbs of N (Urea)  (Urea),VE,D41SP23RIB,129.42,2024
23-May,Saint Paul,C5,No irrigation,160lbs of N (Urea)  (Urea),VE,D41SP23RIB,129.42,2024
23-May,Saint Paul,C6,No irrigation,160lbs of N (Urea)  (Urea),VE,D41SP23RIB,129.42,2024
23-May,Saint Paul,C7,No irrigation,160lbs of N (Urea)  (Urea),VE,D41SP23RIB,129.42,2024
23-May,Saint Paul,C8,No irrigation,160lbs of N (Urea)  (Urea),VE,D41SP23RIB,129.42,2024
30-May,Saint Paul,C1,No irrigation,160lbs of N (Urea)  (Urea),VE,D41SP23RIB,211.41,2024
30-May,Saint Paul,C2,No irrigation,160lbs of N (Urea)  (Urea),V2,D41SP23RIB,211.41,2024
30-May,Saint Paul,C3,No irrigation,160lbs of N (Urea)  (Urea),V2,D41SP23RIB,211.41,2024
30-May,Saint Paul,C4,No irrigation,160lbs of N (Urea)  (Urea),V2,D41SP23RIB,211.41,2024
30-May,Saint Paul,C5,No irrigation,160lbs of N (Urea)  (Urea),VE,D41SP23RIB,211.41,2024
30-May,Saint Paul,C6,No irrigation,160lbs of N (Urea)  (Urea),V2,D41SP23RIB,211.41,2024
30-May,Saint Paul,C7,No irrigation,160lbs of N (Urea)  (Urea),V1,D41SP23RIB,211.41,2024
30-May,Saint Paul,C8,No irrigation,160lbs of N (Urea)  (Urea),V2,D41SP23RIB,211.41,2024
6-Jun,Saint Paul,C1,No irrigation,160lbs of N (Urea)  (Urea),V1,D41SP23RIB,342.54,2024
6-Jun,Saint Paul,C2,No irrigation,160lbs of N (Urea)  (Urea),V2-V3,D41SP23RIB,342.54,2024
6-Jun,Saint Paul,C3,No irrigation,160lbs of N (Urea)  (Urea),V2-v3,D41SP23RIB,342.54,2024
6-Jun,Saint Paul,C4,No irrigation,160lbs of N (Urea)  (Urea),V2-V3,D41SP23RIB,342.54,2024
6-Jun,Saint Paul,C5,No irrigation,160lbs of N (Urea)  (Urea),V2-V3,D41SP23RIB,342.54,2024
6-Jun,Saint Paul,C6,No irrigation,160lbs of N (Urea)  (Urea),V2-V3,D41SP23RIB,342.54,2024
6-Jun,Saint Paul,C7,No irrigation,160lbs of N (Urea)  (Urea),V2-V3,D41SP23RIB,342.54,2024
6-Jun,Saint Paul,C8,No irrigation,160lbs of N (Urea)  (Urea),V2-V3,D41SP23RIB,342.54,2024
14-Jun,Saint Paul,C1,No irrigation,160lbs of N (Urea)  (Urea),V3,D41SP23RIB,492.93,2024
14-Jun,Saint Paul,C2,No irrigation,160lbs of N (Urea)  (Urea),V3,D41SP23RIB,492.93,2024
14-Jun,Saint Paul,C3,No irrigation,160lbs of N (Urea)  (Urea),V4,D41SP23RIB,492.93,2024
