Date,Site,Crop ID,Irrigation,Fertilizer,Growth Stage,Hybrid,AGDD
12-May,Saint Paul,C1,6/5 and 7/19,160lbs of N Urea (5/11/2023),Planted,Dekalb (DKC 40-45),0
12-May,Saint Paul,C2,6/5 and 7/20,160lbs of N Urea (5/11/2023),Planted,Dekalb (DKC 40-45),0
12-May,Saint Paul,C3,6/5 and 7/21,160lbs of N Urea (5/11/2023),Planted,Dekalb (DKC 40-45),0
12-May,Saint Paul,C4,6/5 and 7/22,160lbs of N Urea (5/11/2023),Planted,Dekalb (DKC 40-45),0
12-May,Saint Paul,C5,6/5 and 7/23,160lbs of N Urea (5/11/2023),Planted,Dekalb (DKC 40-45),0
12-May,Saint Paul,C6,6/5 and 7/24,160lbs of N Urea (5/11/2023),Planted,Dekalb (DKC 40-45),0
12-May,Saint Paul,C7,6/5 and 7/25,160lbs of N Urea (5/11/2023),Planted,Dekalb (DKC 40-45),0
12-May,Saint Paul,C8,6/5 and 7/26,160lbs of N Urea (5/11/2023),Planted,Dekalb (DKC 40-45),0
18-May,Saint Paul,C1,6/5 and 7/27,160lbs of N Urea (5/11/2023),VE,Dekalb (DKC 40-45),69.12
18-May,Saint Paul,C2,6/5 and 7/28,160lbs of N Urea (5/11/2023),VE,Dekalb (DKC 40-45),69.12
18-May,Saint Paul,C3,6/5 and 7/29,160lbs of N Urea (5/11/2023),VE,Dekalb (DKC 40-45),69.12
18-May,Saint Paul,C4,6/5 and 7/30,160lbs of N Urea (5/11/2023),VE,Dekalb (DKC 40-45),69.12
18-May,Saint Paul,C5,6/5 and 7/31,160lbs of N Urea (5/11/2023),V1,Dekalb (DKC 40-45),69.12
18-May,Saint Paul,C6,6/5 and 7/32,160lbs of N Urea (5/11/2023),VE,Dekalb (DKC 40-45),69.12
18-May,Saint Paul,C7,6/5 and 7/33,160lbs of N Urea (5/11/2023),VE,Dekalb (DKC 40-45),69.12
18-May,Saint Paul,C8,6/5 and 7/34,160lbs of N Urea (5/11/2023),VE,Dekalb (DKC 40-45),69.12
25-May,Saint Paul,C1,6/5 and 7/35,160lbs of N Urea (5/11/2023),V2,Dekalb (DKC 40-45),175.59
25-May,Saint Paul,C2,6/5 and 7/36,160lbs of N Urea (5/11/2023),V2,Dekalb (DKC 40-45),175.59
25-May,Saint Paul,C3,6/5 and 7/37,160lbs of N Urea (5/11/2023),V2,Dekalb (DKC 40-45),175.59
25-May,Saint Paul,C4,6/5 and 7/38,160lbs of N Urea (5/11/2023),V2,Dekalb (DKC 40-45),175.59
25-May,Saint Paul,C5,6/5 and 7/39,160lbs of N Urea (5/11/2023),V3,Dekalb (DKC 40-45),175.59
25-May,Saint Paul,C6,6/5 and 7/40,160lbs of N Urea (5/11/2023),V2,Dekalb (DKC 40-45),175.59
25-May,Saint Paul,C7,6/5 and 7/41,160lbs of N Urea (5/11/2023),V2,Dekalb (DKC 40-45),175.59
25-May,Saint Paul,C8,6/5 and 7/42,160lbs of N Urea (5/11/2023),V3-V4,Dekalb (DKC 40-45),175.59
1-Jun,Saint Paul,C1,6/5 and 7/43,160lbs of N Urea (5/11/2023),V4,Dekalb (DKC 40-45),337.5
1-Jun,Saint Paul,C2,6/5 and 7/44,160lbs of N Urea (5/11/2023),V4,Dekalb (DKC 40-45),337.5
1-Jun,Saint Paul,C3,6/5 and 7/45,160lbs of N Urea (5/11/2023),V4,Dekalb (DKC 40-45),337.5
1-Jun,Saint Paul,C4,6/5 and 7/46,160lbs of N Urea (5/11/2023),V4,Dekalb (DKC 40-45),337.5
1-Jun,Saint Paul,C5,6/5 and 7/47,160lbs of N Urea (5/11/2023),V5,Dekalb (DKC 40-45),337.5
1-Jun,Saint Paul,C6,6/5 and 7/48,160lbs of N Urea (5/11/2023),V4,Dekalb (DKC 40-45),337.5
1-Jun,Saint Paul,C7,6/5 and 7/49,160lbs of N Urea (5/11/2023),V4,Dekalb (DKC 40-45),337.5
1-Jun,Saint Paul,C8,6/5 and 7/50,160lbs of N Urea (5/11/2023),V4,Dekalb (DKC 40-45),337.5
8-Jun,Saint Paul,C1,6/5 and 7/51,160lbs of N Urea (5/11/2023),V6,Dekalb (DKC 40-45),522.45
8-Jun,Saint Paul,C2,6/5 and 7/52,160lbs of N Urea (5/11/2023),V6,Dekalb (DKC 40-45),522.45
8-Jun,Saint Paul,C3,6/5 and 7/53,160lbs of N Urea (5/11/2023),V6,Dekalb (DKC 40-45),522.45
8-Jun,Saint Paul,C4,6/5 and 7/54,160lbs of N Urea (5/11/2023),V6,Dekalb (DKC 40-45),522.45
8-Jun,Saint Paul,C5,6/5 and 7/55,160lbs of N Urea (5/11/2023),V6,Dekalb (DKC 40-45),522.45
8-Jun,Saint Paul,C6,6/5 and 7/56,160lbs of N Urea (5/11/2023),V6,Dekalb (DKC 40-45),522.45
8-Jun,Saint Paul,C7,6/5 and 7/57,160lbs of N Urea (5/11/2023),V6,Dekalb (DKC 40-45),522.45
8-Jun,Saint Paul,C8,6/5 and 7/58,160lbs of N Urea (5/11/2023),v7,Dekalb (DKC 40-45),522.45
15-Jun,Saint Paul,C1,6/5 and 7/59,160lbs of N Urea (5/11/2023),V7,Dekalb (DKC 40-45),658.8
15-Jun,Saint Paul,C2,6/5 and 7/60,160lbs of N Urea (5/11/2023),V7,Dekalb (DKC 40-45),658.8
15-Jun,Saint Paul,C3,6/5 and 7/61,160lbs of N Urea (5/11/2023),V7,Dekalb (DKC 40-45),658.8
15-Jun,Saint Paul,C4,6/5 and 7/62,160lbs of N Urea (5/11/2023),V8,Dekalb (DKC 40-45),658.8
15-Jun,Saint Paul,C5,6/5 and 7/63,160lbs of N Urea (5/11/2023),V7,Dekalb (DKC 40-45),658.8
15-Jun,Saint Paul,C6,6/5 and 7/64,160lbs of N Urea (5/11/2023),V8,Dekalb (DKC 40-45),658.8
15-Jun,Saint Paul,C7,6/5 and 7/65,160lbs of N Urea (5/11/2023),V8,Dekalb (DKC 40-45),658.8
15-Jun,Saint Paul,C8,6/5 and 7/66,160lbs of N Urea (5/11/2023),V8,Dekalb (DKC 40-45),658.8
22-Jun,Saint Paul,C1,6/5 and 7/67,160lbs of N Urea (5/11/2023),V9,Dekalb (DKC 40-45),828.18
22-Jun,Saint Paul,C2,6/5 and 7/68,160lbs of N Urea (5/11/2023),V10,Dekalb (DKC 40-45),828.18
22-Jun,Saint Paul,C3,6/5 and 7/69,160lbs of N Urea (5/11/2023),V10,Dekalb (DKC 40-45),828.18
22-Jun,Saint Paul,C4,6/5 and 7/70,160lbs of N Urea (5/11/2023),V9,Dekalb (DKC 40-45),828.18
22-Jun,Saint Paul,C5,6/5 and 7/71,160lbs of N Urea (5/11/2023),V9,Dekalb (DKC 40-45),828.18
22-Jun,Saint Paul,C6,6/5 and 7/72,160lbs of N Urea (5/11/2023),V10,Dekalb (DKC 40-45),828.18
22-Jun,Saint Paul,C7,6/5 and 7/73,160lbs of N Urea (5/11/2023),V9,Dekalb (DKC 40-45),828.18
22-Jun,Saint Paul,C8,6/5 and 7/74,160lbs of N Urea (5/11/2023),V9,Dekalb (DKC 40-45),828.18
29-Jun,Saint Paul,C1,6/5 and 7/75,160lbs of N Urea (5/11/2023),V10,Dekalb (DKC 40-45),1001.79
29-Jun,Saint Paul,C2,6/5 and 7/76,160lbs of N Urea (5/11/2023),V11,Dekalb (DKC 40-45),1001.79
29-Jun,Saint Paul,C3,6/5 and 7/77,160lbs of N Urea (5/11/2023),V11,Dekalb (DKC 40-45),1001.79
29-Jun,Saint Paul,C4,6/5 and 7/78,160lbs of N Urea (5/11/2023),V11,Dekalb (DKC 40-45),1001.79
29-Jun,Saint Paul,C5,6/5 and 7/79,160lbs of N Urea (5/11/2023),V10,Dekalb (DKC 40-45),1001.79
29-Jun,Saint Paul,C6,6/5 and 7/80,160lbs of N Urea (5/11/2023),V12,Dekalb (DKC 40-45),1001.79
29-Jun,Saint Paul,C7,6/5 and 7/81,160lbs of N Urea (5/11/2023),V10,Dekalb (DKC 40-45),1001.79
29-Jun,Saint Paul,C8,6/5 and 7/82,160lbs of N Urea (5/11/2023),V10,Dekalb (DKC 40-45),1001.79
6-Jul,Saint Paul,C1,6/5 and 7/83,160lbs of N Urea (5/11/2023),V12,Dekalb (DKC 40-45),1173.24
6-Jul,Saint Paul,C2,6/5 and 7/84,160lbs of N Urea (5/11/2023),V13,Dekalb (DKC 40-45),1173.24
6-Jul,Saint Paul,C3,6/5 and 7/85,160lbs of N Urea (5/11/2023),V13,Dekalb (DKC 40-45),1173.24
6-Jul,Saint Paul,C4,6/5 and 7/86,160lbs of N Urea (5/11/2023),V13,Dekalb (DKC 40-45),1173.24
6-Jul,Saint Paul,C5,6/5 and 7/87,160lbs of N Urea (5/11/2023),V13,Dekalb (DKC 40-45),1173.24
6-Jul,Saint Paul,C6,6/5 and 7/88,160lbs of N Urea (5/11/2023),V14,Dekalb (DKC 40-45),1173.24
6-Jul,Saint Paul,C7,6/5 and 7/89,160lbs of N Urea (5/11/2023),V13,Dekalb (DKC 40-45),1173.24
6-Jul,Saint Paul,C8,6/5 and 7/90,160lbs of N Urea (5/11/2023),V13,Dekalb (DKC 40-45),1173.24
13-Jul,Saint Paul,C1,6/5 and 7/91,160lbs of N Urea (5/11/2023),V15,Dekalb (DKC 40-45),1322.37
13-Jul,Saint Paul,C2,6/5 and 7/92,160lbs of N Urea (5/11/2023),V16,Dekalb (DKC 40-45),1322.37
13-Jul,Saint Paul,C3,6/5 and 7/93,160lbs of N Urea (5/11/2023),V15,Dekalb (DKC 40-45),1322.37
13-Jul,Saint Paul,C4,6/5 and 7/94,160lbs of N Urea (5/11/2023),V15,Dekalb (DKC 40-45),1322.37
13-Jul,Saint Paul,C5,6/5 and 7/95,160lbs of N Urea (5/11/2023),V15,Dekalb (DKC 40-45),1322.37
13-Jul,Saint Paul,C6,6/5 and 7/96,160lbs of N Urea (5/11/2023),V15,Dekalb (DKC 40-45),1322.37
13-Jul,Saint Paul,C7,6/5 and 7/97,160lbs of N Urea (5/11/2023),V14,Dekalb (DKC 40-45),1322.37
13-Jul,Saint Paul,C8,6/5 and 7/98,160lbs of N Urea (5/11/2023),V15,Dekalb (DKC 40-45),1322.37
20-Jul,Saint Paul,C1,6/5 and 7/99,160lbs of N Urea (5/11/2023),VT,Dekalb (DKC 40-45),1290.708
20-Jul,Saint Paul,C2,6/5 and 7/100,160lbs of N Urea (5/11/2023),VT,Dekalb (DKC 40-45),1290.708
20-Jul,Saint Paul,C3,6/5 and 7/101,160lbs of N Urea (5/11/2023),VT,Dekalb (DKC 40-45),1290.708
20-Jul,Saint Paul,C4,6/5 and 7/102,160lbs of N Urea (5/11/2023),VT,Dekalb (DKC 40-45),1290.708
20-Jul,Saint Paul,C5,6/5 and 7/103,160lbs of N Urea (5/11/2023),VT,Dekalb (DKC 40-45),1290.708
20-Jul,Saint Paul,C6,6/5 and 7/104,160lbs of N Urea (5/11/2023),VT,Dekalb (DKC 40-45),1290.708
20-Jul,Saint Paul,C7,6/5 and 7/105,160lbs of N Urea (5/11/2023),VT,Dekalb (DKC 40-45),1290.708
20-Jul,Saint Paul,C8,6/5 and 7/106,160lbs of N Urea (5/11/2023),VT,Dekalb (DKC 40-45),1290.708
27-Jul,Saint Paul,C1,6/5 and 7/107,160lbs of N Urea (5/11/2023),R1,Dekalb (DKC 40-45),1660.5
27-Jul,Saint Paul,C2,6/5 and 7/108,160lbs of N Urea (5/11/2023),R1,Dekalb (DKC 40-45),1660.5
