clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd,latitude,longitude,GDD,Cumulative_GDD
100,2023-05-13,11.6,55,445,333,120,919,936,68.0,1684015200,2.9,72,7.3,1684004400,55.22,1684036800,12.5,12.5,991,final,69,1021,0.0,0.0,85,1326,10681,8002,2029,17.4,1683954000,72,14.0,5.4,44.993,-93.175,11.61,11.61
85,2023-05-14,8.4,55,446,335,121,920,938,64.94,1684098000,2.9,91,6.0,1684044000,50.0,1684072800,30.8,30.8,999,final,72,1030,0.0,0.0,97,1330,10713,8035,2339,13.7,1684040400,91,11.3,4.2,44.993,-93.175,7.469999999999999,19.08
42,2023-05-15,6.6,56,448,336,121,920,940,73.94,1684188000,7.7,253,3.9,1684209600,46.04,1684144800,0.0,0.0,996,final,56,1027,0.0,0.0,281,1334,10745,8067,6752,17.0,1684126800,253,6.8,2.3,44.993,-93.175,11.969999999999999,31.049999999999997
49,2023-05-16,8.8,56,449,337,121,920,942,80.96,1684270800,9.4,213,4.8,1684256400,55.04,1684234800,0.0,0.0,983,final,51,1013,0.0,0.0,337,1338,10775,8099,8097,20.0,1684213200,213,10.8,3.3,44.993,-93.175,18.0,49.05
61,2023-05-17,6.3,56,450,339,121,920,943,66.02,1684357200,8.7,125,6.2,1684357200,51.08,1684324800,0.0,0.0,984,final,55,1014,0.0,0.0,313,1341,10804,8129,7514,15.3,1684299600,125,10.4,5.0,44.993,-93.175,8.549999999999997,57.599999999999994
70,2023-05-18,9.8,56,451,340,121,920,945,66.02,1684422000,6.0,219,5.8,1684465200,57.02,1684393200,9.8,9.8,981,final,67,1011,0.0,0.0,197,1345,10832,8159,4738,16.2,1684386000,219,13.2,4.0,44.993,-93.175,11.519999999999996,69.11999999999999
54,2023-05-19,3.3,56,452,341,121,920,946,60.08,1684537200,2.9,273,7.7,1684476000,44.96,1684490400,0.0,0.0,988,final,58,1019,0.0,0.0,115,1348,10858,8188,2753,11.4,1684472400,273,13.9,5.4,44.993,-93.175,5.039999999999999,74.16
9,2023-05-20,4.7,56,453,342,121,920,948,73.04,1684620000,9.5,262,4.9,1684612800,44.96,1684573200,0.0,0.0,992,final,51,1023,0.0,0.0,342,1351,10883,8216,8212,15.9,1684558800,262,8.0,2.3,44.993,-93.175,11.520000000000003,85.68
16,2023-05-21,6.3,56,454,343,121,920,949,78.08,1684706400,9.5,170,3.7,1684684800,53.06,1684663200,0.0,0.0,988,final,47,1019,0.0,0.0,343,1354,10907,8243,8242,19.2,1684645200,170,6.0,2.2,44.993,-93.175,15.569999999999993,101.25
27,2023-05-22,7.5,57,455,345,121,920,951,82.04,1684789200,8.7,157,5.5,1684792800,57.92,1684753200,0.0,0.0,986,final,42,1016,0.0,0.0,343,1357,10930,8269,8237,21.6,1684731600,157,8.8,3.0,44.993,-93.175,19.980000000000004,121.23
9,2023-05-23,8.5,57,456,346,121,920,952,82.94,1684879200,8.9,166,4.6,1684861200,60.980000000000004,1684839600,0.0,0.0,987,final,42,1017,0.0,0.0,345,1359,10952,8294,8291,22.9,1684818000,166,8.0,2.7,44.993,-93.175,21.960000000000008,143.19
45,2023-05-24,9.2,57,457,347,121,920,953,75.02,1684954800,3.5,83,8.4,1684972800,55.94,1684926000,0.0,0.0,991,final,53,1021,0.0,0.0,196,1362,10973,8319,4715,19.3,1684904400,83,12.9,5.4,44.993,-93.175,15.47999999999999,158.67
43,2023-05-25,2.4,57,458,348,121,920,954,75.92,1685048400,9.5,128,7.2,1685059200,57.92,1685012400,0.0,0.0,993,final,33,1023,0.0,0.0,345,1364,10992,8342,8279,19.1,1684990800,128,10.4,5.6,44.993,-93.175,16.92,175.58999999999997
12,2023-05-26,0.4,57,459,349,121,920,955,78.98,1685142000,9.7,148,4.6,1685145600,53.96,1685098800,0.0,0.0,994,final,29,1024,0.0,0.0,349,1367,11011,8365,8365,19.7,1685077200,148,8.0,3.7,44.993,-93.175,16.47,192.05999999999997
0,2023-05-27,1.2,57,460,349,121,920,956,82.94,1685221200,9.7,149,5.7,1685214000,55.04,1685185200,0.0,0.0,992,final,29,1022,0.0,0.0,349,1369,11028,8386,8386,21.3,1685163600,149,9.8,4.0,44.993,-93.175,18.989999999999995,211.04999999999995
55,2023-05-28,4.7,57,460,350,121,920,957,84.02,1685300400,5.7,131,7.0,1685322000,57.92,1685271600,0.0,0.0,988,final,34,1018,0.0,0.0,208,1371,11045,8407,4996,21.8,1685250000,131,12.5,4.3,44.993,-93.175,20.97,232.01999999999995
60,2023-05-29,6.3,57,461,351,121,920,958,87.08000000000001,1685394000,9.7,165,5.5,1685401200,64.94,1685343600,0.0,0.0,983,final,33,1013,0.0,0.0,326,1373,11061,8427,7818,24.4,1685336400,165,10.8,3.9,44.993,-93.175,25.47,257.48999999999995
75,2023-05-30,13.4,57,461,352,121,920,959,89.06,1685484000,8.1,172,7.2,1685466000,64.04,1685448000,4.5,4.5,980,final,52,1010,0.0,0.0,224,1375,11075,8446,5374,24.5,1685422800,172,11.4,4.5,44.993,-93.175,25.02000000000001,282.51
53,2023-05-31,14.7,57,462,353,121,920,960,89.06,1685574000,6.8,161,6.4,1685563200,66.02,1685527200,0.0,0.0,981,final,52,1011,0.0,0.0,243,1377,11089,8464,5829,25.9,1685509200,161,13.1,4.3,44.993,-93.175,26.00999999999999,308.52
63,2023-06-01,16.0,57,463,353,121,920,961,89.96000000000001,1685646000,7.3,157,7.5,1685649600,71.96,1685613600,1.3,1.3,984,final,54,1014,0.0,0.0,326,1378,11102,8481,7825,26.2,1685595600,157,11.8,4.2,44.993,-93.175,28.97999999999999,337.5
78,2023-06-02,17.1,57,463,354,121,920,961,87.08000000000001,1685743200,6.6,140,6.7,1685750400,69.98,1685703600,0.0,0.0,986,final,62,1016,0.0,0.0,281,1380,11114,8497,6744,25.1,1685682000,140,11.3,3.5,44.993,-93.175,27.99000000000001,365.49
54,2023-06-03,15.2,58,464,355,121,920,962,89.06,1685833200,6.0,93,4.7,1685800800,69.08,1685790000,0.0,0.0,987,final,54,1017,0.0,0.0,245,1381,11125,8512,5888,26.1,1685768400,93,8.0,3.0,44.993,-93.175,27.539999999999992,393.03
27,2023-06-04,14.1,58,464,355,121,920,963,91.03999999999999,1685908800,9.0,109,4.0,1685919600,71.06,1685876400,0.0,0.0,988,final,47,1017,0.0,0.0,348,1383,11135,8526,8340,27.1,1685854800,109,6.0,2.7,44.993,-93.175,28.53,421.55999999999995
72,2023-06-05,15.8,58,464,356,121,920,963,84.91999999999999,1685988000,3.1,105,5.1,1685991600,69.98,1685962800,0.0,0.0,987,final,54,1017,0.0,0.0,114,1384,11144,8539,2727,26.1,1685941200,105,10.3,2.5,44.993,-93.175,27.44999999999999,449.00999999999993
72,2023-06-06,16.3,58,465,356,121,919,964,84.91999999999999,1686088800,6.3,74,4.3,1686092400,69.08,1686052800,0.0,0.0,984,final,60,1014,0.0,0.0,231,1385,11153,8552,5553,24.7,1686027600,74,6.8,3.2,44.993,-93.175,27.0,476.00999999999993
