Date,Site,Crop ID,Hybrid,Irrigation,Fertilizer,Growth Stage,AGDD
15-Apr,,P1,Russet,100%,Nitrogen:240/acre,Planted,0
15-Apr,,P2,Russet,100%,Nitrogen:240/acre,Planted,0
15-Apr,,P3,Russet,100%,Nitrogen:240/acre,Planted,0
15-Apr,,P4,Russet,100%,Nitrogen:240/acre,Planted,0
15-Apr,,P5,Russet,100%,Nitrogen:240/acre,Planted,0
15-Apr,,P6,Russet,100%,Nitrogen:240/acre,Planted,0
15-Apr,,P7,Hamline,100%,Nitrogen:240/acre,Planted,0
15-Apr,,P8,Hamline,100%,Nitrogen:240/acre,Planted,0
24-May,,P1,Russet,100%,Nitrogen:240/acre,I,463.5
24-May,,P2,Russet,100%,Nitrogen:240/acre,I,463.5
24-May,,P3,Russet,100%,Nitrogen:240/acre,I,463.5
24-May,,P4,Russet,100%,Nitrogen:240/acre,I,463.5
24-May,,P5,Russet,100%,Nitrogen:240/acre,I,463.5
24-May,,P6,Russet,100%,Nitrogen:240/acre,I,463.5
24-May,,P7,Hamline,100%,Nitrogen:240/acre,I,463.5
24-May,,P8,Hamline,100%,Nitrogen:240/acre,I,463.5
31-May,,P1,Russet,100%,Nitrogen:240/acre,I-II,584.01
31-May,,P2,Russet,100%,Nitrogen:240/acre,I-II,584.01
31-May,,P3,Russet,100%,Nitrogen:240/acre,I-II,584.01
31-May,,P4,Russet,100%,Nitrogen:240/acre,I-II,584.01
31-May,,P5,Russet,100%,Nitrogen:240/acre,I-II,584.01
31-May,,P6,Russet,100%,Nitrogen:240/acre,I-II,584.01
31-May,,P7,Hamline,100%,Nitrogen:240/acre,I-II,584.01
31-May,,P8,Hamline,100%,Nitrogen:240/acre,I-II,584.01
10-Jun,,P1,Russet,100%,Nitrogen:240/acre,II,801
10-Jun,,P2,Russet,100%,Nitrogen:240/acre,II,801
10-Jun,,P3,Russet,100%,Nitrogen:240/acre,II,801
10-Jun,,P4,Russet,100%,Nitrogen:240/acre,II,801
10-Jun,,P5,Russet,100%,Nitrogen:240/acre,II,801
10-Jun,,P6,Russet,100%,Nitrogen:240/acre,II,801
10-Jun,,P7,Hamline,100%,Nitrogen:240/acre,II,801
10-Jun,,P8,Hamline,100%,Nitrogen:240/acre,II,801
17-Jun,,P1,Russet,100%,Nitrogen:240/acre,II-III,972.45
17-Jun,,P2,Russet,100%,Nitrogen:240/acre,II-III,972.45
17-Jun,,P3,Russet,100%,Nitrogen:240/acre,II-III,972.45
17-Jun,,P4,Russet,100%,Nitrogen:240/acre,II-III,972.45
17-Jun,,P5,Russet,100%,Nitrogen:240/acre,II-III,972.45
17-Jun,,P6,Russet,100%,Nitrogen:240/acre,II-III,972.45
17-Jun,,P7,Hamline,100%,Nitrogen:240/acre,II-III,972.45
17-Jun,,P8,Hamline,100%,Nitrogen:240/acre,II-III,972.45
24-Jun,,P1,Russet,100%,Nitrogen:240/acre,II-III,1135.98
24-Jun,,P2,Russet,100%,Nitrogen:240/acre,II-III,1135.98
24-Jun,,P3,Russet,100%,Nitrogen:240/acre,II-III,1135.98
24-Jun,,P4,Russet,100%,Nitrogen:240/acre,II-III,1135.98
24-Jun,,P5,Russet,100%,Nitrogen:240/acre,II-III,1135.98
24-Jun,,P6,Russet,100%,Nitrogen:240/acre,II-III,1135.98
24-Jun,,P7,Hamline,100%,Nitrogen:240/acre,II-III,1135.98
24-Jun,,P8,Hamline,100%,Nitrogen:240/acre,II-III,1135.98
1-Jul,,P1,Russet,100%,Nitrogen:240/acre,III,1297.44
1-Jul,,P2,Russet,100%,Nitrogen:240/acre,III,1297.44
1-Jul,,P3,Russet,100%,Nitrogen:240/acre,III,1297.44
1-Jul,,P4,Russet,100%,Nitrogen:240/acre,III,1297.44
1-Jul,,P5,Russet,100%,Nitrogen:240/acre,III,1297.44
1-Jul,,P6,Russet,100%,Nitrogen:240/acre,III,1297.44
1-Jul,,P7,Hamline,100%,Nitrogen:240/acre,III,1297.44
1-Jul,,P8,Hamline,100%,Nitrogen:240/acre,III,1297.44
8-Jul,,P1,Russet,100%,Nitrogen:240/acre,III-IV,1471.77
8-Jul,,P2,Russet,100%,Nitrogen:240/acre,III-IV,1471.77
8-Jul,,P3,Russet,100%,Nitrogen:240/acre,III-IV,1471.77
8-Jul,,P4,Russet,100%,Nitrogen:240/acre,III-IV,1471.77
8-Jul,,P5,Russet,100%,Nitrogen:240/acre,III-IV,1471.77
8-Jul,,P6,Russet,100%,Nitrogen:240/acre,III-IV,1471.77
8-Jul,,P7,Hamline,100%,Nitrogen:240/acre,III-IV,1471.77
8-Jul,,P8,Hamline,100%,Nitrogen:240/acre,III-IV,1471.77
16-Jul,,P1,Russet,100%,Nitrogen:240/acre,III-IV,1705.86
16-Jul,,P2,Russet,100%,Nitrogen:240/acre,III-IV,1705.86
16-Jul,,P3,Russet,100%,Nitrogen:240/acre,III-IV,1705.86
16-Jul,,P4,Russet,100%,Nitrogen:240/acre,III-IV,1705.86
16-Jul,,P5,Russet,100%,Nitrogen:240/acre,III-IV,1705.86
16-Jul,,P6,Russet,100%,Nitrogen:240/acre,III-IV,1705.86
16-Jul,,P7,Hamline,100%,Nitrogen:240/acre,III-IV,1705.86
16-Jul,,P8,Hamline,100%,Nitrogen:240/acre,III-IV,1705.86
26-Jul,,P1,Russet,100%,Nitrogen:240/acre,IV,1962.54
26-Jul,,P2,Russet,100%,Nitrogen:240/acre,IV,1962.54
26-Jul,,P3,Russet,100%,Nitrogen:240/acre,IV,1962.54
26-Jul,,P4,Russet,100%,Nitrogen:240/acre,IV,1962.54
26-Jul,,P5,Russet,100%,Nitrogen:240/acre,IV,1962.54
26-Jul,,P6,Russet,100%,Nitrogen:240/acre,IV,1962.54
26-Jul,,P7,Hamline,100%,Nitrogen:240/acre,IV,1962.54
26-Jul,,P8,Hamline,100%,Nitrogen:240/acre,IV,1962.54
2-Aug,,P1,Russet,100%,Nitrogen:240/acre,IV-V,2184.66
2-Aug,,P2,Russet,100%,Nitrogen:240/acre,IV-V,2184.66
2-Aug,,P3,Russet,100%,Nitrogen:240/acre,IV-V,2184.66
2-Aug,,P4,Russet,100%,Nitrogen:240/acre,IV-V,2184.66
2-Aug,,P5,Russet,100%,Nitrogen:240/acre,IV-V,2184.66
2-Aug,,P6,Russet,100%,Nitrogen:240/acre,IV-V,2184.66
2-Aug,,P7,Hamline,100%,Nitrogen:240/acre,IV-V,2184.66
2-Aug,,P8,Hamline,100%,Nitrogen:240/acre,IV-V,2184.66
9-Aug,,P1,Russet,100%,Nitrogen:240/acre,IV-V,2334.24
9-Aug,,P2,Russet,100%,Nitrogen:240/acre,IV-V,2334.24
9-Aug,,P3,Russet,100%,Nitrogen:240/acre,IV-V,2334.24
9-Aug,,P4,Russet,100%,Nitrogen:240/acre,IV-V,2334.24
9-Aug,,P5,Russet,100%,Nitrogen:240/acre,IV-V,2334.24
9-Aug,,P6,Russet,100%,Nitrogen:240/acre,IV-V,2334.24
9-Aug,,P7,Hamline,100%,Nitrogen:240/acre,IV-V,2334.24
9-Aug,,P8,Hamline,100%,Nitrogen:240/acre,IV-V,2334.24
16-Aug,,P1,Russet,100%,Nitrogen:240/acre,IV-V,2492.1
16-Aug,,P2,Russet,100%,Nitrogen:240/acre,IV-V,2492.1
16-Aug,,P3,Russet,100%,Nitrogen:240/acre,IV-V,2492.1
16-Aug,,P4,Russet,100%,Nitrogen:240/acre,IV-V,2492.1
16-Aug,,P5,Russet,100%,Nitrogen:240/acre,IV-V,2492.1
16-Aug,,P6,Russet,100%,Nitrogen:240/acre,IV-V,2492.1
16-Aug,,P7,Hamline,100%,Nitrogen:240/acre,IV-V,2492.1
16-Aug,,P8,Hamline,100%,Nitrogen:240/acre,IV-V,2492.1
23-Aug,,P1,Russet,100%,Nitrogen:240/acre,IV-V,2668.77
23-Aug,,P2,Russet,100%,Nitrogen:240/acre,IV-V,2668.77
23-Aug,,P3,Russet,100%,Nitrogen:240/acre,IV-V,2668.77
23-Aug,,P4,Russet,100%,Nitrogen:240/acre,IV-V,2668.77
23-Aug,,P5,Russet,100%,Nitrogen:240/acre,IV-V,2668.77
23-Aug,,P6,Russet,100%,Nitrogen:240/acre,IV-V,2668.77
23-Aug,,P7,Hamline,100%,Nitrogen:240/acre,IV-V,2668.77
23-Aug,,P8,Hamline,100%,Nitrogen:240/acre,IV-V,2668.77
30-Aug,,P1,Russet,100%,Nitrogen:240/acre,V,2870.01
30-Aug,,P2,Russet,100%,Nitrogen:240/acre,V,2870.01
30-Aug,,P3,Russet,100%,Nitrogen:240/acre,V,2870.01
30-Aug,,P4,Russet,100%,Nitrogen:240/acre,V,2870.01
30-Aug,,P5,Russet,100%,Nitrogen:240/acre,V,2870.01
30-Aug,,P6,Russet,100%,Nitrogen:240/acre,V,2870.01
30-Aug,,P7,Hamline,100%,Nitrogen:240/acre,V,2870.01
30-Aug,,P8,Hamline,100%,Nitrogen:240/acre,V,2870.01
20-Sep,,P1,Russet,100%,Nitrogen:240/acre,Harvested,3378.78
20-Sep,,P2,Russet,100%,Nitrogen:240/acre,Harvested,3378.78
20-Sep,,P3,Russet,100%,Nitrogen:240/acre,Harvested,3378.78
20-Sep,,P4,Russet,100%,Nitrogen:240/acre,Harvested,3378.78
20-Sep,,P5,Russet,100%,Nitrogen:240/acre,Harvested,3378.78
20-Sep,,P6,Russet,100%,Nitrogen:240/acre,Harvested,3378.78
20-Sep,,P7,Hamline,100%,Nitrogen:240/acre,Harvested,3378.78
20-Sep,,P8,Hamline,100%,Nitrogen:240/acre,Harvested,3378.78
