clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd,latitude,longitude,GDD,Cumulative_GDD
100,4/27/2023,6.2,52,424,307,119,915,894,60.98,1682618400,2.6,121,5.1,1682643600,48.38,1682589600,8.3,8.3,972,final,72,1006,0,,99,1251,10167,7358,2368,11.3,1682571600,121,12.4,2.5,45.344,-93.852,10.08,10.08
92,4/28/2023,5.7,52,425,308,119,916,897,50.36,1682719200,2.6,262,4.8,1682715600,38.84,1682740800,4.8,4.8,975,final,85,1009,0,,85,1256,10203,7403,2050,8.1,1682658000,262,8.8,3.4,45.344,-93.852,2.88,12.96
84,4/29/2023,0.7,53,427,310,119,916,900,53.78,1682791200,6.6,322,6.8,1682812800,36.86,1682755200,0,0,972,final,65,1006,0,,244,1260,10239,7447,5866,7.4,1682744400,322,10.2,4.4,45.344,-93.852,4.59,17.55
91,4/30/2023,-2.6,53,428,312,119,916,903,53.96,1682884800,3.1,330,11.3,1682870400,39.2,1682852400,0,0,969,final,49,1003,0,,109,1265,10274,7491,2617,7.9,1682830800,330,15.6,8.8,45.344,-93.852,4.68,22.23
30,5/1/2023,-4.6,53,429,314,119,917,905,56.48,1682974800,7.9,326,10.4,1682960400,39.38,1682938800,0.8,0.8,971,final,41,1005,0,,273,1269,10307,7534,6549,8.7,1682917200,326,15.5,7.2,45.344,-93.852,5.94,28.17
6,5/2/2023,-8.5,53,431,316,119,917,908,61.88,1683061200,8.7,328,11.3,1683057600,39.2,1683025200,0,0,974,final,30,1008,0,,316,1273,10339,7576,7576,10.1,1683003600,328,14.8,6.8,45.344,-93.852,8.64,36.81
3,5/3/2023,-5.6,53,432,317,119,917,911,70.7,1683151200,8,255,3.2,1683147600,33.08,1683111600,0,0,976,final,32,1010,0,,316,1277,10370,7617,7578,12.8,1683090000,255,6.4,1.5,45.344,-93.852,13.05,49.86
0,5/4/2023,-1.2,53,433,319,119,917,913,75.92,1683237600,7.5,221,4.4,1683255600,44.6,1683198000,0,0,972,final,31,1005,0,,306,1281,10400,7657,7342,17.2,1683176400,221,10.2,2.4,45.344,-93.852,15.66,65.52
56,5/5/2023,6,54,435,321,120,918,916,71.96,1683316800,8.7,73,5.6,1683334800,43.88,1683284400,0,0,974,final,59,1008,0,,263,1285,10429,7697,6320,14.3,1683262800,73,10,4.1,45.344,-93.852,13.68,79.2
100,5/6/2023,10,54,436,322,120,918,918,64.76,1683410400,2.7,76,5.2,1683414000,51.08,1683370800,0.8,0.8,974,final,77,1008,0,,75,1290,10458,7736,1798,13.9,1683349200,76,10.4,4,45.344,-93.852,13.32,92.52
54,5/7/2023,10.1,54,437,324,120,918,920,74.12,1683496800,6.3,229,3.5,1683493200,52.52,1683457200,0,0,973,final,67,1006,0,,250,1296,10487,7774,6002,17,1683435600,229,9.2,2.1,45.344,-93.852,18.72,111.24
