Date,Site,Crop ID,Irrigation,Fertilizer,Growth Stage,Hybrid,AGDD,Year
8-May,Becker,S1,,,Planted,NK 06D9E3 ,0,2024
8-May,Becker,S2,,,Planted,NK 06D9E3 ,0,2024
8-May,Becker,S3,,,Planted,NK 06D9E3 ,0,2024
8-May,Becker,S4,,,Planted,NK 06D9E3 ,0,2024
8-May,Becker,S5,,,Planted,NK 06D9E3 ,0,2024
8-May,Becker,S6,,,Planted,NK 06D9E3 ,0,2024
8-May,Becker,S7,,,Planted,NK 06D9E3 ,0,2024
8-May,Becker,S8,,,Planted,NK 06D9E3 ,0,2024
13-May,Becker,S1,,,VE,NK 06D9E3 ,62.5,2024
13-May,Becker,S2,,,VE,NK 06D9E3 ,62.5,2024
13-May,Becker,S3,,,VE,NK 06D9E3 ,62.5,2024
13-May,Becker,S4,,,VE,NK 06D9E3 ,62.5,2024
13-May,Becker,S5,,,VE,NK 06D9E3 ,62.5,2024
13-May,Becker,S6,,,VE,NK 06D9E3 ,62.5,2024
13-May,Becker,S7,,,VE,NK 06D9E3 ,62.5,2024
13-May,Becker,S8,,,VE,NK 06D9E3 ,62.5,2024
20-May,Becker,S1,,,V1,NK 06D9E3 ,156.51,2024
20-May,Becker,S2,,,V1,NK 06D9E3 ,156.51,2024
20-May,Becker,S3,,,V1,NK 06D9E3 ,156.51,2024
20-May,Becker,S4,,,V1,NK 06D9E3 ,156.51,2024
20-May,Becker,S5,,,V1,NK 06D9E3 ,156.51,2024
20-May,Becker,S6,,,V1,NK 06D9E3 ,156.51,2024
20-May,Becker,S7,,,V1,NK 06D9E3 ,156.51,2024
20-May,Becker,S8,,,V1,NK 06D9E3 ,156.51,2024
28-May,Becker,S1,,,V2,NK 06D9E3 ,251.73,2024
28-May,Becker,S2,,,V1,NK 06D9E3 ,251.73,2024
28-May,Becker,S3,,,V2,NK 06D9E3 ,251.73,2024
28-May,Becker,S4,,,V2,NK 06D9E3 ,251.73,2024
28-May,Becker,S5,,,V2,NK 06D9E3 ,251.73,2024
28-May,Becker,S6,,,V1,NK 06D9E3 ,251.73,2024
28-May,Becker,S7,,,V2,NK 06D9E3 ,251.73,2024
28-May,Becker,S8,,,V2,NK 06D9E3 ,251.73,2024
7-Jun,Becker,S1,,,V4,NK 06D9E3 ,416.79,2024
7-Jun,Becker,S2,,,V4,NK 06D9E3 ,416.79,2024
7-Jun,Becker,S3,,,V4,NK 06D9E3 ,416.79,2024
7-Jun,Becker,S4,,,V4,NK 06D9E3 ,416.79,2024
7-Jun,Becker,S5,,,V4,NK 06D9E3 ,416.79,2024
7-Jun,Becker,S6,,,V3,NK 06D9E3 ,416.79,2024
7-Jun,Becker,S7,,,V4,NK 06D9E3 ,416.79,2024
7-Jun,Becker,S8,,,V4,NK 06D9E3 ,416.79,2024
13-Jun,Becker,S1,,,V6,NK 06D9E3 ,518.67,2024
13-Jun,Becker,S2,,,V6,NK 06D9E3 ,518.67,2024
13-Jun,Becker,S3,,,V6,NK 06D9E3 ,518.67,2024
13-Jun,Becker,S4,,,V6,NK 06D9E3 ,518.67,2024
13-Jun,Becker,S5,,,V6,NK 06D9E3 ,518.67,2024
13-Jun,Becker,S6,,,V6,NK 06D9E3 ,518.67,2024
13-Jun,Becker,S7,,,V6,NK 06D9E3 ,518.67,2024
13-Jun,Becker,S8,,,V6,NK 06D9E3 ,518.67,2024
21-Jun,Becker,S1,,,V7,NK 06D9E3 ,662.04,2024
21-Jun,Becker,S2,,,V7,NK 06D9E3 ,662.04,2024
21-Jun,Becker,S3,,,V7,NK 06D9E3 ,662.04,2024
21-Jun,Becker,S4,,,V8,NK 06D9E3 ,662.04,2024
21-Jun,Becker,S5,,,V8,NK 06D9E3 ,662.04,2024
21-Jun,Becker,S6,,,V8,NK 06D9E3 ,662.04,2024
21-Jun,Becker,S7,,,V8,NK 06D9E3 ,662.04,2024
21-Jun,Becker,S8,,,V8,NK 06D9E3 ,662.04,2024
28-Jun,Becker,S1,,,V8,NK 06D9E3 ,800.46,2024
28-Jun,Becker,S2,,,R1,NK 06D9E3 ,800.46,2024
28-Jun,Becker,S3,,,R1,NK 06D9E3 ,800.46,2024
28-Jun,Becker,S4,,,R1,NK 06D9E3 ,800.46,2024
28-Jun,Becker,S5,,,R1,NK 06D9E3 ,800.46,2024
28-Jun,Becker,S6,,,R1,NK 06D9E3 ,800.46,2024
28-Jun,Becker,S7,,,R1,NK 06D9E3 ,800.46,2024
28-Jun,Becker,S8,,,R1,NK 06D9E3 ,800.46,2024
8-Jul,Becker,S1,,,R1-R2,NK 06D9E3 ,978.21,2024
8-Jul,Becker,S2,,,R1-R2,NK 06D9E3 ,978.21,2024
8-Jul,Becker,S3,,,R1,NK 06D9E3 ,978.21,2024
8-Jul,Becker,S4,,,R1-R2,NK 06D9E3 ,978.21,2024
8-Jul,Becker,S5,,,R1-R2,NK 06D9E3 ,978.21,2024
8-Jul,Becker,S6,,,R1-R2,NK 06D9E3 ,978.21,2024
8-Jul,Becker,S7,,,R1-R2,NK 06D9E3 ,978.21,2024
8-Jul,Becker,S8,,,R2,NK 06D9E3 ,978.21,2024
16-Jul,Becker,S1,,,R2,NK 06D9E3 ,1169.1,2024
16-Jul,Becker,S2,,,R2,NK 06D9E3 ,1169.1,2024
16-Jul,Becker,S3,,,R2,NK 06D9E3 ,1169.1,2024
16-Jul,Becker,S4,,,R2,NK 06D9E3 ,1169.1,2024
16-Jul,Becker,S5,,,R2,NK 06D9E3 ,1169.1,2024
16-Jul,Becker,S6,,,R2,NK 06D9E3 ,1169.1,2024
16-Jul,Becker,S7,,,R2,NK 06D9E3 ,1169.1,2024
16-Jul,Becker,S8,,,R2,NK 06D9E3 ,1169.1,2024
21-Jul,Becker,S1,,,R2-R3,NK 06D9E3 ,1267.11,2024
21-Jul,Becker,S2,,,R2-R3,NK 06D9E3 ,1267.11,2024
21-Jul,Becker,S3,,,R2-R3,NK 06D9E3 ,1267.11,2024
21-Jul,Becker,S4,,,R2-R3,NK 06D9E3 ,1267.11,2024
21-Jul,Becker,S5,,,R2-R3,NK 06D9E3 ,1267.11,2024
21-Jul,Becker,S6,,,R2-R3,NK 06D9E3 ,1267.11,2024
21-Jul,Becker,S7,,,R2-R3,NK 06D9E3 ,1267.11,2024
21-Jul,Becker,S8,,,R2-R3,NK 06D9E3 ,1267.11,2024
27-Jul,Becker,S1,,,R3,NK 06D9E3 ,1401.48,2024
27-Jul,Becker,S2,,,R3,NK 06D9E3 ,1401.48,2024
27-Jul,Becker,S3,,,R3,NK 06D9E3 ,1401.48,2024
27-Jul,Becker,S4,,,R3,NK 06D9E3 ,1401.48,2024
27-Jul,Becker,S5,,,R3,NK 06D9E3 ,1401.48,2024
27-Jul,Becker,S6,,,R3,NK 06D9E3 ,1401.48,2024
27-Jul,Becker,S7,,,R3,NK 06D9E3 ,1401.48,2024
27-Jul,Becker,S8,,,R3,NK 06D9E3 ,1401.48,2024
2-Aug,Becker,S1,,,R3-R4,NK 06D9E3 ,1556.1,2024
2-Aug,Becker,S2,,,R3-R4,NK 06D9E3 ,1556.1,2024
2-Aug,Becker,S3,,,R3-R4,NK 06D9E3 ,1556.1,2024
2-Aug,Becker,S4,,,R3-R4,NK 06D9E3 ,1556.1,2024
2-Aug,Becker,S5,,,R3-R4,NK 06D9E3 ,1556.1,2024
2-Aug,Becker,S6,,,R3-R4,NK 06D9E3 ,1556.1,2024
2-Aug,Becker,S7,,,R3-R4,NK 06D9E3 ,1556.1,2024
2-Aug,Becker,S8,,,R3-R4,NK 06D9E3 ,1556.1,2024
8-Aug,Becker,S1,,,R4,NK 06D9E3 ,1656.54,2024
8-Aug,Becker,S2,,,R4,NK 06D9E3 ,1656.54,2024
8-Aug,Becker,S3,,,R4,NK 06D9E3 ,1656.54,2024
8-Aug,Becker,S4,,,R4,NK 06D9E3 ,1656.54,2024
8-Aug,Becker,S5,,,R4,NK 06D9E3 ,1656.54,2024
8-Aug,Becker,S6,,,R4,NK 06D9E3 ,1656.54,2024
8-Aug,Becker,S7,,,R4,NK 06D9E3 ,1656.54,2024
8-Aug,Becker,S8,,,R4,NK 06D9E3 ,1656.54,2024
16-Aug,Becker,S1,,,R4-R5,NK 06D9E3 ,1787.94,2024
16-Aug,Becker,S2,,,R4-R5,NK 06D9E3 ,1787.94,2024
16-Aug,Becker,S3,,,R4-R5,NK 06D9E3 ,1787.94,2024
16-Aug,Becker,S4,,,R4-R5,NK 06D9E3 ,1787.94,2024
16-Aug,Becker,S5,,,R4-R5,NK 06D9E3 ,1787.94,2024
16-Aug,Becker,S6,,,R4-R5,NK 06D9E3 ,1787.94,2024
16-Aug,Becker,S7,,,R4-R5,NK 06D9E3 ,1787.94,2024
16-Aug,Becker,S8,,,R4-R5,NK 06D9E3 ,1787.94,2024
23-Aug,Becker,S1,,,R5,NK 06D9E3 ,1926.81,2024
23-Aug,Becker,S2,,,R4,NK 06D9E3 ,1926.81,2024
23-Aug,Becker,S3,,,R5,NK 06D9E3 ,1926.81,2024
23-Aug,Becker,S4,,,R5,NK 06D9E3 ,1926.81,2024
23-Aug,Becker,S5,,,R4,NK 06D9E3 ,1926.81,2024
23-Aug,Becker,S6,,,R5,NK 06D9E3 ,1926.81,2024
23-Aug,Becker,S7,,,R5,NK 06D9E3 ,1926.81,2024
23-Aug,Becker,S8,,,R5,NK 06D9E3 ,1926.81,2024
30-Aug,Becker,S1,,,R6,NK 06D9E3 ,2090.25,2024
30-Aug,Becker,S2,,,R6,NK 06D9E3 ,2090.25,2024
30-Aug,Becker,S3,,,R6,NK 06D9E3 ,2090.25,2024
30-Aug,Becker,S4,,,R6,NK 06D9E3 ,2090.25,2024
30-Aug,Becker,S5,,,R6,NK 06D9E3 ,2090.25,2024
30-Aug,Becker,S6,,,R6,NK 06D9E3 ,2090.25,2024
30-Aug,Becker,S7,,,R6,NK 06D9E3 ,2090.25,2024
30-Aug,Becker,S8,,,R6,NK 06D9E3 ,2090.25,2024
6-Sep,Becker,S1,,,R7,NK 06D9E3 ,2197.53,2024
6-Sep,Becker,S2,,,R7,NK 06D9E3 ,2197.53,2024
6-Sep,Becker,S3,,,R7,NK 06D9E3 ,2197.53,2024
6-Sep,Becker,S4,,,R7,NK 06D9E3 ,2197.53,2024
6-Sep,Becker,S5,,,R7,NK 06D9E3 ,2197.53,2024
6-Sep,Becker,S6,,,R7,NK 06D9E3 ,2197.53,2024
6-Sep,Becker,S7,,,R7,NK 06D9E3 ,2197.53,2024
6-Sep,Becker,S8,,,R7,NK 06D9E3 ,2197.53,2024
13-Sep,Becker,S1,,,R8,NK 06D9E3 ,2322.18,2024
13-Sep,Becker,S2,,,R8,NK 06D9E3 ,2322.18,2024
13-Sep,Becker,S3,,,R8,NK 06D9E3 ,2322.18,2024
13-Sep,Becker,S4,,,R8,NK 06D9E3 ,2322.18,2024
13-Sep,Becker,S5,,,R8,NK 06D9E3 ,2322.18,2024
13-Sep,Becker,S6,,,R8,NK 06D9E3 ,2322.18,2024
13-Sep,Becker,S7,,,R8,NK 06D9E3 ,2322.18,2024
13-Sep,Becker,S8,,,R8,NK 06D9E3 ,2322.18,2024
17-Sep,Becker,S1,,,Harvested,NK 06D9E3 ,2421.27,2024
17-Sep,Becker,S2,,,Harvested,NK 06D9E3 ,2421.27,2024
17-Sep,Becker,S3,,,Harvested,NK 06D9E3 ,2421.27,2024
17-Sep,Becker,S4,,,Harvested,NK 06D9E3 ,2421.27,2024
17-Sep,Becker,S5,,,Harvested,NK 06D9E3 ,2421.27,2024
17-Sep,Becker,S6,,,Harvested,NK 06D9E3 ,2421.27,2024
17-Sep,Becker,S7,,,Harvested,NK 06D9E3 ,2421.27,2024
17-Sep,Becker,S8,,,Harvested,NK 06D9E3 ,2421.27,2024
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
17-Oct,Becker,,,,,,,
