Date,Site,Crop ID,Irrigation,Fertilizer,,Growth Stage,Hybrid,AGDD
18-May,,S1,June 12 once,N/A,,Planted,MN0702CN,0
18-May,,S2,June 12 once,N/A,,Planted,MN0702CN,0
18-May,,S3,June 12 once,N/A,,Planted,MN0702CN,0
18-May,,S4,June 12 once,N/A,,Planted,MN0702CN,0
18-May,,S5,June 12 once,N/A,,Planted,MN0702CN,0
18-May,,S6,June 12 once,N/A,,Planted,MN0702CN,0
18-May,,S7,June 12 once,N/A,,Planted,MN0702CN,0
18-May,,S8,June 12 once,N/A,,Planted,MN0702CN,0
25-May,,S1,June 12 once,N/A,,VE,MN0702CN,106.47
25-May,,S2,June 12 once,N/A,,VE,MN0702CN,106.47
25-May,,S3,June 12 once,N/A,,VE,MN0702CN,106.47
25-May,,S4,June 12 once,N/A,,VE,MN0702CN,106.47
25-May,,S5,June 12 once,N/A,,VE,MN0702CN,106.47
25-May,,S6,June 12 once,N/A,,VE,MN0702CN,106.47
25-May,,S7,June 12 once,N/A,,VE,MN0702CN,106.47
25-May,,S8,June 12 once,N/A,,VE,MN0702CN,106.47
1-Jun,,S1,June 12 once,N/A,,V2,MN0702CN,268.38
1-Jun,,S2,June 12 once,N/A,,V2,MN0702CN,268.38
1-Jun,,S3,June 12 once,N/A,,V2,MN0702CN,268.38
1-Jun,,S4,June 12 once,N/A,,V2,MN0702CN,268.38
1-Jun,,S5,June 12 once,N/A,,V2,MN0702CN,268.38
1-Jun,,S6,June 12 once,N/A,,V2,MN0702CN,268.38
1-Jun,,S7,June 12 once,N/A,,V2,MN0702CN,268.38
1-Jun,,S8,June 12 once,N/A,,V2,MN0702CN,268.38
8-Jun,,S1,June 12 once,N/A,,V3,MN0702CN,453.33
8-Jun,,S2,June 12 once,N/A,,V2-V3,MN0702CN,453.33
8-Jun,,S3,June 12 once,N/A,,V3,MN0702CN,453.33
8-Jun,,S4,June 12 once,N/A,,V2-V3,MN0702CN,453.33
8-Jun,,S5,June 12 once,N/A,,V3,MN0702CN,453.33
8-Jun,,S6,June 12 once,N/A,,V3,MN0702CN,453.33
8-Jun,,S7,June 12 once,N/A,,V3,MN0702CN,453.33
8-Jun,,S8,June 12 once,N/A,,V4,MN0702CN,453.33
15-Jun,,S1,June 12 once,N/A,,V4,MN0702CN,589.68
15-Jun,,S2,June 12 once,N/A,,V3,MN0702CN,589.68
15-Jun,,S3,June 12 once,N/A,,V3-V4,MN0702CN,589.68
15-Jun,,S4,June 12 once,N/A,,V3,MN0702CN,589.68
15-Jun,,S5,June 12 once,N/A,,V3-V4,MN0702CN,589.68
15-Jun,,S6,June 12 once,N/A,,V4,MN0702CN,589.68
15-Jun,,S7,June 12 once,N/A,,V4,MN0702CN,589.68
15-Jun,,S8,June 12 once,N/A,,V4,MN0702CN,589.68
22-Jun,,S1,June 12 once,N/A,,V6,MN0702CN,759.06
22-Jun,,S2,June 12 once,N/A,,V5,MN0702CN,759.06
22-Jun,,S3,June 12 once,N/A,,V5,MN0702CN,759.06
22-Jun,,S4,June 12 once,N/A,,V5,MN0702CN,759.06
22-Jun,,S5,June 12 once,N/A,,V6,MN0702CN,759.06
22-Jun,,S6,June 12 once,N/A,,V6,MN0702CN,759.06
22-Jun,,S7,June 12 once,N/A,,V6,MN0702CN,759.06
22-Jun,,S8,June 12 once,N/A,,V6,MN0702CN,759.06
29-Jun,,S1,June 12 once,N/A,,V10,MN0702CN,932.67
29-Jun,,S2,June 12 once,N/A,,V8,MN0702CN,932.67
29-Jun,,S3,June 12 once,N/A,,V9,MN0702CN,932.67
29-Jun,,S4,June 12 once,N/A,,V8,MN0702CN,932.67
29-Jun,,S5,June 12 once,N/A,,V10,MN0702CN,932.67
