Date,Site,Crop ID,Irrigation,Fertilizer,Growth Stage,Hybrid,AGDD
4-Jun,Saint Paul,S1,,,Planted, AG13XFA ,0
4-Jun,Saint Paul,S2,,,Planted, AG13XFA ,0
4-Jun,Saint Paul,S3,,,Planted, AG13XFA ,0
4-Jun,Saint Paul,S4,,,Planted, AG13XFA ,0
4-Jun,Saint Paul,S5,,,Planted, AG13XFA ,0
4-Jun,Saint Paul,S6,,,Planted, AG13XFA ,0
4-Jun,Saint Paul,S7,,,Planted, AG13XFA ,0
4-Jun,Saint Paul,S8,,,Planted, AG13XFA ,0
12-Jun,Saint Paul,S1,,,VE, AG13XFA ,139.41
12-Jun,Saint Paul,S2,,,VE, AG13XFA ,139.41
12-Jun,Saint Paul,S3,,,VE, AG13XFA ,139.41
12-Jun,Saint Paul,S4,,,VE, AG13XFA ,139.41
12-Jun,Saint Paul,S5,,,VE, AG13XFA ,139.41
12-Jun,Saint Paul,S6,,,VE, AG13XFA ,139.41
12-Jun,Saint Paul,S7,,,VE, AG13XFA ,139.41
12-Jun,Saint Paul,S8,,,VE, AG13XFA ,139.41
20-Jun,Saint Paul,S1,,,V1, AG13XFA ,298.98
20-Jun,Saint Paul,S2,,,V1, AG13XFA ,298.98
20-Jun,Saint Paul,S3,,,V1, AG13XFA ,298.98
20-Jun,Saint Paul,S4,,,V1, AG13XFA ,298.98
20-Jun,Saint Paul,S5,,,V1, AG13XFA ,298.98
20-Jun,Saint Paul,S6,,,V1, AG13XFA ,298.98
20-Jun,Saint Paul,S7,,,V1, AG13XFA ,298.98
20-Jun,Saint Paul,S8,,,V1, AG13XFA ,298.98
27-Jun,Saint Paul,S1,,,V3, AG13XFA ,448.11
27-Jun,Saint Paul,S2,,,V3, AG13XFA ,448.11
27-Jun,Saint Paul,S3,,,V3, AG13XFA ,448.11
27-Jun,Saint Paul,S4,,,V3, AG13XFA ,448.11
27-Jun,Saint Paul,S5,,,V3, AG13XFA ,448.11
27-Jun,Saint Paul,S6,,,V3, AG13XFA ,448.11
27-Jun,Saint Paul,S7,,,V3, AG13XFA ,448.11
27-Jun,Saint Paul,S8,,,V3, AG13XFA ,448.11
8-Jul,Saint Paul,S1,,,V4, AG13XFA ,667.53
8-Jul,Saint Paul,S2,,,V3-V4, AG13XFA ,667.53
8-Jul,Saint Paul,S3,,,V5, AG13XFA ,667.53
8-Jul,Saint Paul,S4,,,V5, AG13XFA ,667.53
8-Jul,Saint Paul,S5,,,V5, AG13XFA ,667.53
8-Jul,Saint Paul,S6,,,V5, AG13XFA ,667.53
8-Jul,Saint Paul,S7,,,V5, AG13XFA ,667.53
8-Jul,Saint Paul,S8,,,V4, AG13XFA ,667.53
17-Jul,Saint Paul,S1,,,V7, AG13XFA ,892.89
17-Jul,Saint Paul,S2,,,V8, AG13XFA ,892.89
17-Jul,Saint Paul,S3,,,V7, AG13XFA ,892.89
17-Jul,Saint Paul,S4,,,V8, AG13XFA ,892.89
17-Jul,Saint Paul,S5,,,V8, AG13XFA ,892.89
17-Jul,Saint Paul,S6,,,V8, AG13XFA ,892.89
17-Jul,Saint Paul,S7,,,V8, AG13XFA ,892.89
17-Jul,Saint Paul,S8,,,V7, AG13XFA ,892.89
25-Jul,Saint Paul,S1,,,R1, AG13XFA ,1070.37
25-Jul,Saint Paul,S2,,,R1, AG13XFA ,1070.37
25-Jul,Saint Paul,S3,,,R1, AG13XFA ,1070.37
25-Jul,Saint Paul,S4,,,R1, AG13XFA ,1070.37
25-Jul,Saint Paul,S5,,,R1, AG13XFA ,1070.37
25-Jul,Saint Paul,S6,,,R1, AG13XFA ,1070.37
25-Jul,Saint Paul,S7,,,R1, AG13XFA ,1070.37
25-Jul,Saint Paul,S8,,,R1, AG13XFA ,1070.37
1-Aug,Saint Paul,S1,,,R2, AG13XFA ,1259.28
1-Aug,Saint Paul,S2,,,R2, AG13XFA ,1259.28
1-Aug,Saint Paul,S3,,,R2, AG13XFA ,1259.28
1-Aug,Saint Paul,S4,,,R2, AG13XFA ,1259.28
1-Aug,Saint Paul,S5,,,R2, AG13XFA ,1259.28
1-Aug,Saint Paul,S6,,,R2, AG13XFA ,1259.28
1-Aug,Saint Paul,S7,,,R2, AG13XFA ,1259.28
